id;name;RA;Decl;V_mag;R_star;M_star;Priority;SpcType;comments;period;period_error;t0;t0_error;depth;duration;Rs_a;Mp;Rp;filler;public;tess;required_observations;done;t0_sg1;t0_error_sg1;period_sg1;period_error_sg1;duration_sg1;duration_error_sg1;Rp_sg1;comments_sg1;depth_sg1;plan_observations;rv_interested;master_disposition;publication_status_sg1;predicted_K_sg2;Teq_sg2;Teff_GAIA_sg2;insolation_sg2;observations;stellar_density
845;"TOI04364.01";80.06665;-4.2394361111111;13.6;0;0;5;;"EPHEMERIS ERROR: 30 min M&M targets Observed on 23 November 2023, but useless. Observed on 23/10/2022. Report: The observations were heavily affected by clouds, the data are useless. I tried to remove part of the data affected by clouds but the 'ingress' detected by the pipeline is too deep. The scatter is too large to discard EBs also. observed on 15 November 2024 Report: We do not detect the transit event on the target star with significance (transit is too shallow considering the light curves scatter). We can rule out 13 stars as EBs with deep transits in the observed window. Observed on Feb. 10 2025. The target and/or comparison stars were saturated in g, r, and i bands. A hint of the transit was detected in the zs band. One more try... Published in Distler et al. 2025, retired.";5.4240279;0;2458439.340243;0;0;0.0703126;0;0;0;0;1;1;4;"Yes";2458439.3427;0.002;5.42402;1.1E-5;0.07031265225;0.29708984;2.1;"[P=5.4240691] weak signal; KarenC analyzed a near-full on 20210923 in 1m0 ip and maybe detected a ~10 min (2σ) early ~1.5 ppt event in an uncontaminated 6.6" target aperture. Dennis Conti analyzed a slightly defocused full on 20211004 in 1m0 ip and possibly detected a 0 - 20 min late (depending on ap size, comp ensemble, detrending) ~1.5 ppt event on target. The event is not clear in the 13 px undetrended light curve, but may be there in a 17 px. Skies were a bit rough OOT. Note: Neighbor T5 (29" SE of target, 2.7dT) is a known BY-type variable star (See VSX catalog) with a period of 5.3 days. All but 7 of the 27 near-by stars were cleared. The SPOC report appears to limit the event to within 15", which would exclude the 29" neighbor, but the period of the variable is suspicious. Roberto Zambelli/KarenC/LCO-SAAO-1m0 analyzed a nominal full on 20211014 in ip and (with double detrending) maybe detected a 15 min (2σ) early ~2 ppt egress in an uncontaminated 5.8" arcsec aperture. RickS/KarenC/LCO-SSO-1m0 analyzed a full on 20211224 in ip and apparently detected an on-time ~2 ppt event using an uncontaminated 5.1" target aperture and cleared the 11" neighbor that is not cleared by SPOC centroids. The reliability of the result is limited by the short pre-transit baseline and non-ideal skies. Rick Schwarz/LCO-SAAO-1m0 analyzed a full on 20220205 in ip and detected a 12 min (1.7σ) early 2.8 ppt transit using an uncontaminated 5.1" target aperture that excludes the flux from the neighbor (TIC 4070273; T= 16.4, dT = 5.0, r = 10.9 SE). [P=5.4240279] Rick Schwarz/LCO-CTIO-1m0 analyzed a full on 20220222 in ip and detected an on-time 1.6 ppt transit using an uncontaminated 5.1" target aperture. K. Barkaoui/LCO-SAAO-1m0 analyzed a full on 20220315 in ip and detected an ~on-time ~2 ppt event using an uncontaminated 5.4" target aperture.Felipe Murgas/ MuSCAT2 Team/ observed a full on 20241115 in gp, rp, ip, zs and cleared 13/29 neighbors over the window, did not see an obvious NEB. There is a hint of a ~2 ppt event in the combined lightcurve. Jerome de Leon/ MuSCAT2 team/ observed a full on 20250210 in gp, rp, ip, zs and did not detect an event with a significance using 10.9" uncontaminated target aperture within the observation window for gp and zs bands. The target star and comparison stars are mostly saturated in gp, rp, and ip bands due to long exposure time. On hold awaiting validation or confirmation interest. No more SG1 observations needed at this time.";1767;1;"NEID-Distler; ESPRESSO-Grieves";"VPC";"Nolan Grieves Confirmation Interest ADAM DISTLER <ajdistler@wisc.edu> Andrew Mann Jonathan Bush Requested LCO Obs Validation Submitted";3.07;533;4180;13.4;4;
1134;"TOI05113.01";80.498458333333;30.948727777778;10.726;0;0;2;;"observed on 25 November 2024 Report: The observations stopped before the ingress, data are useless. observed on 26 November. 2024 Report: The observations were affected by clouds and the data acquisition was stopped before the transit. Data are useless.";4.1363202;0;2459545.541329;0;0;0.132917;0;0;0;0;1;1;1;"Yes";2459545.5413;0.0045;4.1363202;0.0001179;0.1329166667;0.424;3;"asymmetric transit; potential stellar variability; Check field within 2.5' for NEBs using a red (rp, R, ip, I, z) filter.";470;;;"PC";;3.4;1513;5605;870.6;1;
1704;"TOI02456.01";80.579675;10.575313888889;10.3;;;2;;;99999.99;;2459178.894556;;1220;1.852;;;;0;;1;1;"No";2459178.8946;0.0025;99999.99;0.01;0.07717629167;0.587341;2.8;"potential single with transit at about 2179 days;";1220;;;"STPC";;0.29;73;4991;0;0;
1770;"TOI03721.01";80.611575;40.426061111111;13.3;;;3;;;3.541618;;2458839.00036;;7520;2.976;;;;0;;1;1;"No";2458839.0004;0.0039;3.541618;1.0E-5;0.124;0.392;9.8;"[P=3.5423180] found in faint-star QLP search; Update from AIJ-s59. [P=3.541618] Allyson Bieryla/ KeplerCam observed a gapped egress+35% on 20230110 in ip and detected an ~on-time ~7 ppt egress using an uncontaminated 4" target aperture. Ken Mason/ Mason 0.28m/ observed a full on 20241211 in R and detected an ~on-time ~10.4 ppt [(Rp/R*)²: 9.2 ppt] event using an uncontaminated 7.8" target aperture. This observation re-confirms the event on-target. No more observations needed, except for a high precision (<1.0 ppt/10 min) full transit in a blue (U, u', B, g') and/or red (i', I, z, Y) filter to check chromaticity. High-precision (<1.0 ppt/10 min) multi-band observations even better.";7520;;;"VPC";;34.34;1248;5008;402.2;0;
892;"TOI02696.01";80.674416666667;-20.427788888889;13.036;0;0;5;;"Observed on 26 October 2023, Report: We observed full and detected ~12ppt transit using the 10.875" uncontaminated aperture. The transit depths do not show chromaticity. We can rule out all the other identified nearby stars. EPHEMERIS ERROR: 2min TTF Comments: "VPC: found in faint-star QLP search; The next observation should be a high precision (<1.0 ppt/5 min) full transit in a red (r', R, i', I, z, Y) filter to firm -up the timing of the event on target."";6.409365;0;2459199.897242;0;0;0.071125;0;0;0;0;;1;1;"Yes";2459199.8972;0.0011;6.409396;1.1E-5;0.071125;0.111;12.1;"[P=6.409365] found in faint-star QLP search; Phil Evans/El Sauce 0.36m observed a full on 202111078 in Rc and detected an on-time 13 ppt event using an uncontaminated 7.4" aperture. The field was cleared. TG Tan/PEST observed a full on 20211114 in gp and detected a 12 min (6σ) late ~11 ppt event using an uncontaminated 6.4" target aperture. [P=6.409522] Phil Evans/El Sauce 0.51m observed a full on 20211223 in Rc and detected a 9-minutes early 11 ppt event using an 5.4" uncontaminated target aperture. The field was cleared. Back to original ephem. [P=6.409365] Phil Evans/El Sauce 0.51m observed a full on 20221204 in B and detected a 5 minutes late (2.7σ) 11.5 ppt event using a 4.5" uncontaminated target aperture. KarenC/ LCO-CTIO-0m4 analyzed a full on 20221204 in ip and detected an ~on-time 12 ppt event. Jerome de Leon/MuSCAT2 observed a full on 20231026 in gp, rp, ip, zs and detected an ~7.1 min late (2.3 sigma) (Rp/R*)^2: 12.2, 12.7, 12.6, 11.7 ppt event using uncontaminated ~10",9" target apertures. [P=6.409396]. On hold awaiting validation or confirmation interest. No more SG1 observations needed at this time.";11300;;;"VPC+";;30.78;1183;6042;325.1;1;
792;"TOI02802.01";80.731166666667;-21.955686111111;12.079;0;0;3;;"EPHEMERIS ERROR: 4min TTF Comments: "PC: found in faint-star QLP search; CTOI from Olmschenk et al. (2021); Confirm event on target with high precision (<~1.5ppt/min) and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter."";3.5266608;0;2459195.405441;0;0;0.0877083;0;0;0;0;1;1;1;"No";2459195.4054;0.0028;3.526661;1.7E-5;0.08770833333;0.294;5.8;"found in faint-star QLP search; CTOI from Olmschenk et al. (2021); Confirm event on target with high precision (<~1.5ppt/min) and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter.";1320;;;"PC";;11.53;1640;5668;1202.2;0;
1953;"TOI05549.01";80.859741666667;23.133558333333;12.4;;;3;;;7.4323882;;2459475.1244983;;838;2.776;;;;0;;1;1;"No";2459475.1245;0.0046;7.4323882;0.0007868;0.1156639534;0.70265955;3.8;"low SNR; crowded field; Check field within 2.5' for NEBs using a red (rp, R, ip, I, z) filter.";838;;;"PC";;5.21;1029;4923;186.5;0;
566;"UCD442929628";80.909266666667;-14.050558055556;16.5;0;0;5;;"UCD candidate from UCD project. The target is probably not clearly visible in the finding chart. These targets are faint. Use exposure times in between 1 and 2 minutes. On focus observations !! First observation doubtful, Hannu wants a second one";0.6911;0.0006;2458439.677;0.025;0.69;0.025;0;0;0;0;1;1;2;"Yes";;;;;;;;;;;;;;;;;;2;
1956;"TOI05564.01";80.9471625;35.417533333333;12.3;;;2;;;136.9738;;2458840.5358035;;10000;6.902;;;;0;;1;1;"No";2458840.5358;0.0032;1095.79;0.003;0.2875833333;1.07;10.9;"[P=499.9998355] [Has an SAI 0.35" D_I=3.0 mag companion.] Dalba: HIRES vetting spectrum shows vsini ~ 10 km/s. potential multi; single transit at ~1840 TBJD; Eric Girardin/GdP observed a full (e-366/i+335; -6/+5 sigma) on 20230212 in ip and probably ruled out the 9.7 event on target and cleared 30 out of 40 neighbors over the windows using a 4.4” uncontaminated aperture. (relative to the QLP s45 ephemeris). A review of QLP report shows that the 500 day ephemeris is bogus since the single transit is matched with a gap in the data. A recent s59 observation does not have coverage at the 45 day period of the TOI-5564.02 event, but there is an apparent single transit at the end of the light curve that appears to have duration consistent with TOI-5564.01. AIJ s19+43+44+45+59 shows that the s19 & s59 events are separated by 1095.79 d and have similar duration. The aliases P/2 = 547.895, P/3=365.2633!!!, P/4=273.9475, P/6=182.6317, P/7=156.5414, P/8=136.9738, P/9=121.7544 appear to work due to the data gaps. Chris Mann reports that P/16=68.4869 is also allowed given an observing gap in the s43-s45. P/16 = 68.4869 will cover P, P/2, P/4, P/8. P/9 = 121.7544 will cover P/3. No coverage at these aliases in s73. Change to 1095.79/16 [P=68.4869] Rick Schwarz/LCO-Teid-1m0 analyzed an egress -100/+140 min on 20240206 in ip and ruled out the ~10 ppt egress over the window on target using an uncontaminated 5.1" target aperture and 40/40 neighbors were cleared to 2.5' over the window. Revert to [P=1095.79] The next observation should be a focused high precision (<1.0 ppt/10 min) full transit in a red (r', R, i', I, z) filter to determine the source and timing of the event.";10000;1;"NEID-Beatty+Kroft";"PC";;5.7;203;5451;0.3;0;
1957;"TOI05564.02";80.9471625;35.417533333333;12.3;;;2;;"Large TTV.";45.5039403;;2459487.9445533;;9740;4.973;;;;0;;1;1;"No";2459487.8446;0.0027;45.6130526;0.0037857;0.2140416667;0.256;8.8;"[P=45.4964928] [Has an SAI 0.35" D_I=3.0 mag companion.] Dalba: HIRES vetting spectrum shows vsini ~ 10 km/s.potential multi; Revised SPOC s43-45 ephemeris. Rick Schwarz/ LCO-McD-1m0 analyzed a nominal ingress+40% (i-135/i+123 min; -1.5/+1.4 σ) on 20230928 in ip and did not detect the ~9.7 ppt ingress on target. There is a hint of a possible 216 min (2.5σ) early, much shallower than expected, ~1.9 ppt egress [(Rp/R*)²: ~1.6 ppt]. The field was cleared of obvious NEBs over the window. The ephemeris uncertianty and delta Tc are quite large. There is a TESS observation scheduled for Dec. 2023 so hopefully we get an ephemeris update then. Update to AIJ s19-s73 [P=45.6114861, T0=2487.8446] Raquel Forés/ Jose Muñoz/ OAUV-TURIA2 observed an ingress+75% on 20240213 in R and detected a ~43 min late (0.4σ) ~11.7 ppt ingress using an uncontaminated 5.4" target aperture. [P=45.6130526] Francis Wilkin/ LCO-Teid-1m0 on 20240929 analyzed a nominal ingress+50% (e-145/e+128 min; -1.1/+1.0σ) in ip and ruled out the ~10 ppt egress over the window using an uncontaminated 3.1" aperture. There are apparent 2 hour TTVs in 3 events in AIJ s19-s73. The next TESS observation is Dec 2024. Let's try one more time at this ephemeris and see if we can get better coverage. The next observation should be a high precision (<1.0 ppt/10 min) full transit in a red (r', R, i', I, z) filter to check for the return of the transit at the revised ephemeris. High-precision (<1.0 ppt/10 min) multi-band or blue (U, u', B, g') filter observations even better for a simultaneous check on chromaticity.";9740;1;"NEID-Beatty+Kroft, SOPHIE(Hébrard)";"VPC";"Apparent 2 hours TTVs in 3 events in AIJ s19-s73";10.21;519;5451;12;0;
746;"TOI02451.22";81.31325;-0.76906666666667;17;0;0;5;;"EPHEMERIS ERROR: 1h 23min M&M Target (Teff=3250) & USP TTF Comments: "No more observations needed, except for multi-band or alternating filter high precision (<1.0 ppt/5 min) full transits in blue (U, u', B, g') *and* very red (zp, zs, Y) to check for chromaticity." Submitted to TFOP 19 October 2021 Report: ==== We observed TOI-2451.22 with MuSCAT2 for time windows between -0.045 d and +0.042 d from the predicted transit center on Oct. 8, 2021, and between -0.10 d and +0.0 d from the predicted transit center on Oct. 9, 2021. We did not detect any significant transit signal on both nights. Although there is a hint of a 5-10 ppt transit signal in the light curves from Oct. 9, this possible signal is not consistent with the observation of Oct. 8. As a result, we excluded the predicted transit signal of TOI-2451.22 from the time window between -0.10 d and +0.042 d. =====";0.343838;0;2459174.475148;0;0;0.0404003;0;0;0;0;1;1;1;"Yes";2459174.4751;0.041;0.343838;4.5E-5;0.04040029167;0.280414;;"[P=0.343889] some stellar variability; high proper motion; KarenC observed a full on 20200206 in gp,rp,ip,zs and ruled out a 28 ppt event on target, and detected a 7,8,4,8 ppt event on the brighter neighbor T2 (TIC 4294781, T = 14.875, ΔT = -0.980, r = 6.38" NE). No more observations needed, except for multi-band or alternating filter high precision (<1.0 ppt/5 min) full transits in blue (U, u', B, g') *and* very red (zp, zs, Y) to check for chromaticity.";8000;;"Not Found";"VPC";;;;;;2;
2601;"TOI06058.01";81.40225;37.118266666667;10.7;;;5;;"Target for MANGOS project, contact Francisco Pozuelos Observed on 28 December 2023, Report: We observed full on 20231228 in gp, rp, ip, zs and can not detect an event using 10.875" uncontaminated target aperture. We can rule out all the identified nearby stars. Observed on 9 December 2023, Report: We observed full on 20231209 in gp, rp, ip, zs and can not detect an event using 8.7" uncontaminated target aperture. We can rule out all the identified nearby stars. Observed on 25 October 2023, Report: We observed full on 20231025 in gp, rp, ip, zs and detected a 2.11 min late (0.7 sigma) (Rp/R*)^2: 1.0, 1.0, 1.0, 0.9 ppt event using 10.875" uncontaminated target aperture. The transit depths do not show chromaticity. We can rule out deep eclipses in all the identified nearby stars except for star-ID 1.";2.3673676;;2459935.968189;;550;0.0435;;;;0;1;1;2;"Yes";2459935.9682;0.0018;2.3673676;8.1E-6;0.04354166667;0.214;1.8;"low SNR; Mayuko Mori/ MuSCAT2 observed a defocused full on 20231025 in gp, rp, ip, zs and detected an ~on-time (0.7 sigma) (Rp/R*)^2: ~1 ppt event using an uncontaminated 10.9" target aperture. JeromeL/ MuSCAT2 Team/ TCS-MuSCAT2-1.52m/ observed a full on 20231209 in gp, rp, ip, zs and possibly detected a hint of an ~on-time <1 ppt ingress using an uncontaminated 8.7" target aperture. There is high scatter from mid-event to the end of the observation that makes interpreting the light curve(s) challenging. JeromeL/ MuSCAT2 Team/ TCS-MuSCAT2-1.52m/ observed a full on 20231228 in gp, rp, ip, zs and possibly detected a <1 ppt event in the combined light curve using an uncontaminated 10.9" target aperture. Rick Schwarz/ LCO-Teid-1m0 analyzed a full on 20240223 in zs and detected an ~on-time ~1.0 ppt event using an uncontaminated 7.8" target aperture. HowieR/ CristilynW/ LCO-TEID-1m0 analyzed a full on 20240313 in zs and probably detected an ~on-time ~0.6 ppt event using an uncontaminated 7.4" target aperture. No more observations needed, except for extreme precision (<0.5 ppt/10 min) full transits to detect the shallow event on target in a red (r', R, i', I, z, Y) filter.";550;1;"NEID-Beatty+Kroft";"VPC";;2.36;1020;4481;179.72;3;
905;"TOI03741.01";81.57825;47.073780555556;13.8771;0;0;3;;"EPHEMERIS ERROR: 1h TTF Comments: "VPC-: Same signal as TOI-3740.01. found in faint-star QLP search; The next observation should be a focused full transit in a red (r', R, i', I, z) filter to separate TIC 701926764 (T = 14.2, ΔT = 1.15, r = 1.7" W) and determine the source of the event (tough at 1.7")."";2.044871;0;2458838.028865;0;0;0.115125;0;0;0;0;1;1;1;"No";2458838.0289;0.0007;2.044871;0.000121;0.115125;0.079;19;"[P=2.044954] Same signal as TOI-3740.01. found in faint-star QLP search; Hunter Harling observed a nominal full event on 20211027 in Rc and detected a 38 minute (0.66σ) early 29 ppt event using an 8.1" target aperture that is contaminated with TIC 701926764 (T = 14.2, ΔT = 1.15, r = 1.7" W). Vayujeet Gokhale/NPOI-Lowell observed a full on 20211027 in CLEAR and detected a 35 minute (0.6 sigma) early 24.17 ppt event using a 5.58" target aperture that is contaminated with T2 (T = 14.2, ΔT = 1.15, r = 1.7" W). [P=2.044871] AdamP/SUTO-Otivar-0m3 observed a full on 20221123 in R and detected an ~on-time ~24 ppt event using a contaminated 6.85" target aperture. AdamP/SUTO-Otivar-0m3 observed a full on 20230103 in R and detected a 27 ppt event using a 4.1" target aperture that is contaminated with T = 14.2, ΔT = 1.15, r = 1.7" W. No more observations, except for a focused full transit in a red (r', R, i', I, z) filter that is expected to separate TIC 701926764 (T = 14.2, ΔT = 1.15, r = 1.7" W) and determine the source of the event (tough at 1.7").";36060;;;"VPC-";;155.45;1502;5087;845.9;0;
1379;"TOI05426.01";81.649625;31.633052777778;11.572;;;5;;"observed on 25th of February. 2024 Report: We detect a transit event using an aperture that is contaminated by a nearby star (Star ID 46, TIC 722806581).";5.8095099;0;2459541.462505;0;;0.101125;;;;0;1;1;1;"No";2459541.4625;0.0023;5.8094676;4.37E-5;0.101125;0.767;5.1;"[P=5.8095099] found in faint-star QLP search; The two TRES observations yield a velocity offset of 6.9 km/s. There is a stellar or a brown-dwarf companion in this system that is not the source of the transit events. Ferran Grau/ CALOU-0m4 analyzed a full on 20231119 in rp and possibly detected a ~31 min (3.4σ) late ~1.8 ppt event using a contaminated 6.4" target aperture (T2: TIC 722806581; T=15.9, dT=4.9, r=3.1"). Felipe Murgas/MuSCAT2 observed a full on 20240225 in gp ,rp, ip, zs and detected an ~9 min. early ~0.5, 1.0, 1.9, 1.2 ppt event using a contaminated 10.9" target aperture (T2: dT=4.9, r=3.1" N). [P=5.8094676]. ChrisS/ CristilynW/ LCO-HAL-0m35/ analysed a full on 20250214 in gp, ip and detected a ~on-time ~2 ppt event in ip only using an marginally contaminated 2.2" target aperture (T2: TIC 722806581; T=15.9, dT=4.9, r=3.1"). There was no apparent event in the gp band observations. Retired as APC/BEB.";1750;;;"APC";;6.84;1254;5743;410.3;0;
403;"TOI01681.01";81.671041666667;56.963613888889;10.97;0;0;5;;"EPHEMERIS ERROR: 12 min Submitted TFOP 16/3/2020 Report: We can't detect the transit on target (too shallow for our photometric precision) but we can rule out nearby EBs.";1.537559;0;2458816.53305;0;0;0.036764;0;0;0;0;1;1;1;"Yes";2459934.6025;0.0012;1.5379289;2.7E-6;0.03016666667;0.373158;8.4;"[P=1.537559] V-shaped?; some small centroid offset; Passes TRES and FIES recon. John Kielkopf observed a full on 20200223 in ip and is suggestive of a ruled out event on target. NEBcheck inconclusive. Felipe and the MuSCAT2 team observed a full on 20200307 in gp,rp,ip,zs and cleared 7 of 45 stars within 2.5'. Allyson observed a full on 20200209 in ip and cleared 15 of 45 nearby stars. There is some possibility of a 10 minute late detection on target, but I agree with Allyson that it's not convincing. KarenC observed a full (e-180/i+80;-3/+1.5σ) on 20201113 in MuSCAT3 gp,rp,ip,zs probably ruled out an event during the observation window. There is an apparent ~90 min early dip in gp,rp,ip. However, a different timed and shaped event occurs in the zs band. Removing the transit models gives a less preferred fit to a straight line. The 30 stars to the E, N, and W of the target are cleared of NEBs (south is off the small detector). BobM analyzed a full on 20201101 in 1m0 zs and did not detect an obvious event on or off target. The skies were rough, so will need another try. Let's return the ephemeris to the SPOC nominal value. [P=1.537559] Kim McLeod and students observed a full (e-55/ i+180 min ; e-0.7/i+2.3 sig) on 20210424 in Whitin rp and cleared the field over the window. [P=1.5375590] Update from AIJ-s59. [P=1.537919] Roberto Zambelli/LCO-TEID-1m0 analyzed a full on 20231202 in zs and detected 12 min early, possibly ~15 min. longer, ~1.7 ppt event using an uncontaminated 6" target aperture and did not see an obvious NEB over the widow. The ingress shape is not well-defined. [P=1.5378911]. Rick Schwarz & Khalid Barkaoui/LCO-HAL-M3 analyzed a defocused (3.0) full on 20250407 in MUSCAT gp-rp-ip-zs and detected an ~6.0 min (2.0σ) early ~1.3 ppt (average) transit using 5.8" to 6.6" target apertures. (Rp/R*)²: 0.9 ppt (gp), 1.1 ppt (rp), 1.1 ppt (ip) & 1.1 ppt (zs). The next observation should be a high precision (<1.0 ppt/10 min) full transit in a red (r', R, i', I, z) filter to check for the return of the transit at the revised ephemeris and refine the depth, and duration.";1112;;;"VPC";;29.09;1622;5712;1150.6;2;
953;"TOI04605.01";81.715708333333;18.419816666667;10.821;0;0;5;;"EPHEMERIS ERROR: 19min Kim McLeod/Whitin observed a full on 20220104 in rp and detected a 30 min (1σ) late 70 ppt PNEB in TIC 19155783 (dT=3.9, r=16"SW) using a 2.7" aperture. PNEB";3.14356744287;0;2459493.442112;0;0;0.072625;0;0;0;0;1;1;1;"No";2459550.0351;0.0016;3.1440629;0.0001175;0.09116666667;0.21;5.8;"[P=3.1435674] Kim McLeod/Whitin observed a full on 20220104 in rp and detected a 30 min (1σ) late 70 ppt PNEB in TIC 19155783 (dT=3.9, r=16"SW) using a 2.7" aperture. [P=3.1442870] Dennis Conti/ KarenC /LCO-McD-0m4 analyzed a full on 20221021 in ip and reconfirmed an 80 ppt V-shaped NEB in T3 (TIC 19155783, T = 14.1, ΔT = 3.9, r = 16.7" SW). Retired as NEB.";1870;;;"NEB";;8.55;1334;5473;525.7;0;
306;"TOI00421.01";81.853291666667;-14.276741666667;9.931;0;0;5;;"EPHEMERIS ERROR: 13 min BAD DATA, WE NEED A SECOND OBSERVATION The next observation should be a high precision (<1.0ppt/min) full transit in a red (r', R, i', I, z) filter to again attempt to detect of the TESS reported event.";16.068918;0;2458440.131104;0;0;0.111778;0;0;0;0;1;1;2;"No";2459195.3081;0.0007;16.067522;1.73E-5;0.1090932602;0.19;4.8;"[P=16.068919] the target may also be on 94986312; Kevin and Karen observed a full on 20190205 in Y and cleared the field of NEBs and found a 19 minute early ~3 ppt event on target. [P=16.066380] Rick Schwarz/LCO-CTIO-1m0 analyzed an egress+90% on 20231022 in zs and detected an ~on-time ~3.0 ppt egress [(Rp/R*)²: ~2.7 ppt] using an uncontaminated 5.5" target aperture. No more observations needed, except high precision (<1 ppt/10 min) *full-only* transits in a red (r', R, i', I, z) filter to monitor TTVs. (Pttv=176, amp=10 min).";2930;1;"KESPRINT (FIES 12, HARPS-Gandolfi 105); WINE (FEROS 15, CHIRON 3, HARPS 3, PFS); CORALIE 3, Minerva-Australis (18), HIRES-TKS(35, Howard)";"P";"Daniel Jontof-Hutter interested TTVs Gandolfi, Ilaria Carleo Confirmation Published";5.52;683;5272;36.2;1;
93;"J052742";81.927666666667;7.9180805555556;12.04;0;0;4;;"Jorge Prieto. Brown Dwarf (SuperWASP)";1.1391899;0;2458111.5122859;0;0;0.102;0;0;0;0;1;;1;"Yes";;;;;;;;;;;;;;;;;;3;
768;"TOI02773.01";82.083208333333;-19.621497222222;13.593;0;0;5;;"EPHEMERIS ERROR: 3min USP TTF Comments: "PC: found in faint-star QLP search; Confirm event on target with high precision (<~1.5ppt/min) and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter." Data on 30 Oct 2021 bad due to dome+weather Report: Half (approx.) of the observations were affected by dome vignetting and were not considered in the transit fit. The transit is too shallow to be detected given the light curve scatter, although there is a hint of an egress in zs-band. We can rule out EBs with deeo transits. Data on 11/11/2021 Bad: Clouds affected the observations, object name changed to TOI 2733.01 and then to TOI 2773.01 Observations 22/11/2021 Bad due to weather observed on 05/11. Report: The observations were affected by dome failure (dome rotated during the observations). The photometry is specially bad during the transit, so I think these data are useless. Observed on 04/03/2022. Report: The i-band CCD had connection issues and could not be used. The observations were affected by dome vignetting right after the egress, we removed these points from the transit fit. The transit seems to be not detected on target although it is difficult to firmly confirm this due to the lack of pre- and post-transit data. Useless data Observed on 02/11. Report: The observations were affected by dome rotation (see screenshot). The scatter in the light curve is too large to allow the detection of the transit. There is another obs. without dome problems (05/11), so I wouldn't upload this data set to ExoFOP.";0.5993364;0;2459199.858678;0;0;0.0426667;0;0;0;0;1;1;6;"Yes";2459199.8587;0.0019;0.599342;2.0E-6;0.04266666667;0.162;14.3;"[P=0.5993360] found in faint-star QLP search; Felipe Murgas/MuSCAT2 observed a nominal full on 20221105 in gp ,rp, ip, zs and likely detected a ~11 min late 1.6, 0.9, 1.8, 3.9 ppt event using an uncontaminated 5.6" target aperture. [P=0.599342]. Rick Schwarz/ Khalid Barkaoui/ LCO-HAL-2m0M3 analyzed fulls on 20231030 in MUSCAT3 gp, rp, ip, zs and detected an ~on-time ~0.2, 0.7, ~1.5, & ~3.2 ppt event using uncontaminated 2.7" target apertures. Retired as APC/BEB.";2180;;;"APC";;212.75;4140;5537;48798.5;7;
253;"TOI00544.01";82.290083333333;-0.34288694444444;10.777;0;0;5;;"TESS target for KESPRINT followp by PI G. Nowak. Obtain 1 transit Uploaded to TFOP 25/11/19";1.5483;0;2458480.5962;0;0;0.0477;0;0;0;0;1;1;1;"Yes";2459199.031;0.007;1.548352;2.0E-6;0.05012885602;0.129462;2.2;"Tianjun Gan observed a full on 20190920 in zs and cleared the field, including the TICv8 neighbor TIC 50618707 9" ESE, but it is not detected by Gaia DR2. Felipe and MuSCAT2 observed on 20191013. Inconclusive. I'm not sure we can do anything more photometrically with the system not knowing the status of the two nearby stars, so it has been retired as a CPC. Update to Hannah Osborne, Davide Gandolfi, et al. [P=1.5483520] No more SG1 observations needed at this time.";926;1;"HARPS-N-Nowak (14) + HARPS-Gandolfi(108: paper in prep.";"P";"Hannah Osborne Gandolfi Confirmation Published Giacalone Validation Published [SG1 data included]";3.88;1097;4231;240.8;1;
1519;"TOI05552.01";82.384958333333;33.246886111111;12.624;;;3;;"TTV.";28.644402208016;0;2459483.012404;0;;0.172676;;;;0;;1;1;"No";2458824.4112;0.001;28.642538;3.0E-5;0.1726761962;0.17803769;8.5;"[P=28.6444022] Update from AIJ-s19+s59 and T0 from s19. [P=28.6404822] K. Barkaoui/ LCO-Teid-1.0m observed an ingress+35% on 20240201 in ip and detected ~224 min late ~11 ppt event using an uncontaminated 5.8” target aperture. TTVs? [P=28.6434220] Paul Benni/ASP observed a nominal full on 20241113 in gp and detected a ~187 min (62σ) late ~7.9 ppt ingress using an uncontaminated 6.0" target aperture. [P=28.6425380] Greg Srdoc/ Kotizarovci-0.3m observed full on 20241212 in ~T and detected ~on time, (Rp/R*)²: ~15.7 ppt event using uncontaminated 6.0" target aperture. No more observations needed, except for a high precision (<1.0 ppt/10 min) full transit in a blue (U, u', B, g') filter to refine the check on chromaticity. High-precision (<1.0 ppt/10 min) multi-band observations even better.";8850;1;"HARPS-N (Mantovan - GAPS, 30, orbit)";"VPC+?";"TTV/ETV can be observed in s43";13.58;597;5334;21.1;0;
1338;"TOI03771.01";82.56025;31.181744444444;13.848;;;3;;;3.624068260159;0;2459544.897158;0;;0.113942;;;;0;;1;1;"No";2459544.8972;0.0016;3.6239292;2.18E-5;0.09895833333;0.361;14.3;"[P=3.62753] found in faint-star QLP search; Allyson Bieryla/KeplerCam observed a full (e-159/i+258 min: e-0.3σ/i+0.5σ) on 20220124 in ip and ruled out the 11.2 ppt event on target with an uncontaminated aperture and cleared 85/85 neighbors over the window. AIJ s45 shows the event occurred 2σ early and before the observations started. Update to AIJ s45. [P=3.6239100] Allyson Bieryla/KeplerCam observed an egress on 20220315 in ip and detected an on-time 9.4 ppt egress using an uncontaminated 3.4" target aperture. No more observations needed, except for a full transit in a blue (U, u', B, g') filter to check chromaticity. Multi-band observations preferred.";10050;;;"VPC";;103.91;1677;5433;1314.2;0;
